auth,affil
Aini Hyytiäinen,"Department of Oral and Maxillofacial Diseases, Helsinki, Finland"
Akira I. Hida,"Department of Pathology, Matsuyama Shimin Hospital, Matsuyama, Japan."
Akira I. Hida,"Department of Pathology, Matsuyama Shimin Hospital, Ehime, Japan"
Alastair Thompson,"Surgical Oncology, Baylor College of Medicine, Texas, USA."
Alex Lefevre,"Roche Diagnostics, Belgium"
Alexander J. Lazar,"Departments of Pathology, Genomic Medicine, Dermatology, and Translational Molecular Pathology, The University of Texas MD Anderson Cancer Center, Houston, TX, USA"
Allen Gown,"PhenoPath Laboratories, Seattle, USA."
Amy Lo,"Research Pathology, Genentech Inc., South San Francisco, USA."
Ana Sapino,"University of Turin / Candiolo Cancer Institute - FPO, IRCCS, Candiolo, Italy"
Anant Madabhushi,"Case Western Reserve University, Cleveland, Ohio, USA"
Anant Madabhushi,"Louis Stokes Cleveland Veterans Health Administration Medical Center, Cleveland, Ohio, USA"
Andre Moreira,"Pulmonary Pathology, New York University Center for Biospecimen Research and Development, New York University, New York, New York, USA."
Andrea Richardson,"Department of Pathology, Johns Hopkins Hospital, Baltimore, USA."
Andrea Vingiani,"Department of Pathology, Istituto Europeo di Oncologia, University of Milan, Milan, Italy."
Andrew H. Beck,"PathAI, Inc., Cambridge, USA"
Andrew M. Bellizzi,"Department of Pathology, University of Iowa Hospitals and Clinics, Iowa City, USA."
Andrew Tutt,"Breast Cancer Now Toby Robins Research Centre, The Institute of Cancer Research, London, UK"
Angel Guerrero,"Department of Oncology, IVO Valencia, Spain."
Anita Grigoriadis,"Cancer Bioinformatics Lab, Cancer Centre at Guy’s Hospital, London, UK"
Anita Grigoriadis,"School of Life Sciences and Medicine, King’s College London, London, UK"
Anna Ehinger,"Lund University, Skane University Hospital, Department of Clinical Sciences Lund, Oncology and Pathology, Lund, Sweden"
Anna Garrido Castro,"Dana Farber Cancer Institute, Boston, USA."
Anne Vincent-Salomon,"Institut Curie, Paris Sciences Lettres Université, Inserm U934, Department of Pathology, Paris, France."
Anne-Vibeke Laenkholm,"Department of Surgical Pathology Zealand University Hospital, Demark"
Ashish Sharma,"Department of Biomedical Informatics, Emory University, GA, USA"
Ashley Cimino-Mathews,"Departments of Pathology and Oncology, The Johns Hopkins Hospital, Baltimore, USA."
Ashok Srinivasan,"National Surgical Adjuvant Breast and Bowel Project Operations Center/NRG Oncology, Pittsburgh, Pennsylvania, USA."
Balazs Acs,"Department of Pathology, Karolinska Institute, Sweden"
Baljit Singh,"Department of Pathology, New York University Langone Medical Centre, New York, USA."
Benjamin Calhoun,"Department of Pathology and Laboratory Medicine, UNC School of Medicine, USA."
Benjamin Haibe-Kans,"Bioinformatics and Computational Genomics Laboratory, Princess Margaret Cancer Center, Toronto, Canada."
Benjamin Solomon,"Department of Medical Oncology, Peter MacCallum Cancer Centre, Melbourne, Australia."
Bibhusal Thapa,"Department of Medicine, University of Melbourne, Parkville, Australia."
Brad H. Nelson,"Trev & Joyce Deeley Research Centre, British Columbia Cancer Agency, Victoria, Canada."
Brandon D. Gallas,"Division of Imaging, Diagnostics, and Software Reliability (DIDSR), Office of Science and Engineering Laboratories (OSEL), Center for Devices and Radiological Health (CDRH), Rockville, USA"
Carlos Castaneda,"Department of Research, Instituto Nacional de Enfermedades Neoplásicas, Lima, Perú."
Carlos Castaneda,"Department of Research, Instituto Nacional de Enfermedades Neoplasicas, Lima 15038, Peru"
Carmen Ballesteroes-Merino,"Providence Cancer Research Center, Portland, Oregon, USA."
Carmen Criscitiello,"Department of Medical Oncology, Istituto Europeo di Oncologia, Milan, Italy."
Carolien Boeckx,"Roche Diagnostics, Belgium."
Carsten Denkert,"University of Marburg, Marburg, Germany"
Cecile Colpaert,"Department of Pathology, AZ Turnhout, Turnhout, Belgium."
Cecily Quinn,"Department of Pathology, St Vincent's University Hospital and University College Dublin, Dublin, Ireland"
Chakra S. Chennubhotla,"Department of Computational and Systems Biology, University of Pittsburgh, USA."
Charles Swanton,"Cancer Research UK Lung Cancer Centre of Excellence, University College London Cancer Institute, University College London, London, UK"
Christos Sotiriou,"Institut Jules Bordet, Universite Libre de Bruxelles, Brussels, Belgium"
Cinzia Solinas,"Azienda AUSL, Regional Hospital of Aosta, Aosta, Italy"
Crispin Hiley,"Cancer Research UK Lung Cancer Centre of Excellence, University College London Cancer Institute, University College London, London, UK"
Damien Drubay,"Gustave Roussy, Universite Paris-Saclay, Villejuif, France"
Damien Drubay,"Université Paris-Sud, Institut National de la Santé et de la Recherche Médicale, Villejuif, France"
Daniel Bethmann,"University Hospital Halle (Saale), Institute of Pathology, Halle (Saale), Germany"
David A. Moore,"Department of Pathology, UCL Cancer Institute, UCL, London, UK"
David A. Moore,"University College Hospitals NHS Trust, London, UK."
David L. Rimm,"Department of Pathology, Yale University School of Medicine, New Haven, USA"
Deborah A. Dillon,"Department of Pathology, Brigham and Women’s Hospital, Boston, MA Department of Pathology, Dana Farber Cancer Institute, Boston, MA"
Denis Larsimont,"Department of Pathology, Jules Bordet Institute, Brussels, Belgium"
Dhanusha Sabanathan,"Department of Clinical Medicine, Macquarie University, Sydney, Australia"
Dieter Peeters,"HistoGeneX NV, Antwerp, Belgium and AZ Sint-Maarten Hospital, Mechelen, Belgium."
